Species,Genus,Family,Infraorder,Suborder,Order,Diet,Early Age,Late Age,Early Period,Late Period,Max MYA,Min MYA,Lifespan (MYA)
Ceratonykus oculatus,Ceratonykus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Dzharaonyx eski,Dzharaonyx,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous,93.9,89.8,4.1000000000000085
Jaculinykus yaruui,Jaculinykus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Khulsanurus magnificus,Khulsanurus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Linhenykus monodactylus,Linhenykus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Mononykus olecranus,Mononykus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Ondogurvel alifanovi,Ondogurvel,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Parvicursor remotus,Parvicursor,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Shuvuuia deserti,Shuvuuia,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Xixianykus zhangi,Xixianykus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,89.8,83.6,6.200000000000003
Achillesaurus manazzonei,Achillesaurus,,Non-Avian,Theropoda,Saurischia,Carnivore,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,86.3,83.6,2.700000000000003
Albertonykus borealis,Albertonykus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Alnashetri cerropoliciensis,Alnashetri,,Non-Avian,Theropoda,Saurischia,Carnivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Alvarezsaurus calvoi,Alvarezsaurus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,86.3,83.6,2.700000000000003
Elopteryx nopcsai,Elopteryx,,Non-Avian,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Trierarchuncus prairiensis,Trierarchuncus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Bannykus wulatensis,Bannykus,,Non-Avian,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Bonapartenykus ultimus,Bonapartenykus,,Non-Avian,Theropoda,Saurischia,Carnivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Haplocheirus sollers,Haplocheirus,,Non-Avian,Theropoda,Saurischia,Carnivore,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,161.5,154.8,6.699999999999989
Nemegtonykus citus,Nemegtonykus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Patagonykus puertai,Patagonykus,,Non-Avian,Theropoda,Saurischia,Carnivore,Turonian,Coniacian,Upper Cretaceous,Upper Cretaceous,93.9,86.3,7.6000000000000085
Qiupanykus zhangi,Qiupanykus,Alvarezsauridae,Non-Avian,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Tugulusaurus faciles,Tugulusaurus,,Non-Avian,Theropoda,Saurischia,Carnivore,Valanginian,Albian,Lower Cretaceous,Lower Cretaceous,139.8,100.5,39.30000000000001
Xiyunykus pengi,Xiyunykus,,Non-Avian,Theropoda,Saurischia,Carnivore,Valanginian,Valanginian,Lower Cretaceous,Lower Cretaceous,139.8,132.6,7.200000000000017
Aorun zhaoi,Aorun,,Non-Avian,Theropoda,Saurischia,Carnivore,Callovian,Callovian,Middle Jurassic,Middle Jurassic,165.3,161.5,3.8000000000000114
Shishugounykus inexpectus,Shishugounykus,,Non-Avian,Theropoda,Saurischia,Carnivore,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic,161.5,154.8,6.699999999999989
Anzu wyliei,Anzu,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Apatoraptor pennatus,Apatoraptor,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Caenagnathasia martinsoni,Caenagnathasia,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous,93.9,89.8,4.1000000000000085
Caenagnathus collinsi,Caenagnathus,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Citipes elegans,Citipes,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Elmisaurus rarus,Elmisaurus,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Epichirostenotes curriei,Epichirostenotes,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Hagryphus giganteus,Hagryphus,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Anomalipes zhaoi,Anomalipes,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Beibeilong sinensis,Beibeilong,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Cenomanian,Turonian,Upper Cretaceous,Upper Cretaceous,100.5,89.8,10.700000000000003
Chirostenotes pergracilis,Chirostenotes,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Eoneophron infernalis,Eoneophron,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Gigantoraptor erlianensis,Gigantoraptor,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Leptorhynchos elegans,Leptorhynchos,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Leptorhynchos gaddisi,Leptorhynchos,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Microvenator celer,Microvenator,Caenagnathidae,Non-Avian,Theropoda,Saurischia,Omnivore,Aptian,Cenomanian,Lower Cretaceous,Upper Cretaceous,121.4,93.9,27.5
Similicaudipteryx yixianensis,Similicaudipteryx,Caudipteridae,Non-Avian,Theropoda,Saurischia,Omnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Xingtianosaurus ganqi,Xingtianosaurus,Caudipteridae,Non-Avian,Theropoda,Saurischia,Omnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Citipati osmolskae,Citipati,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Corythoraptor jacobsi,Corythoraptor,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Huanansaurus ganzhouensis,Huanansaurus,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Rinchenia mongoliensis,Rinchenia,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Tongtianlong limosus,Tongtianlong,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Wulatelong gobiensis,Wulatelong,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Banji long,Banji,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Conchoraptor gracilis,Conchoraptor,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Ganzhousaurus nankangensis,Ganzhousaurus,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Heyuannia huangi,Heyuannia,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Heyuannia yanshini,Heyuannia,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Jiangxisaurus ganzhouensis,Jiangxisaurus,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Khaan mckennai,Khaan,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Machairasaurus leptonychus,Machairasaurus,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Nemegtomaia barsboldi,Nemegtomaia,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Oksoko avarsan,Oksoko,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Shixinggia oblita,Shixinggia,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Gobiraptor minutus,Gobiraptor,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Luoyanggia liudianensis,Luoyanggia,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,100.5,20.900000000000006
Nankangia jiangxiensis,Nankangia,,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Oviraptor philoceratops,Oviraptor,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Herbivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Yulong mini,Yulong,Oviraptoridae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Avimimus nemegtensis,Avimimus,Avimimidae,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Avimimus portentosus,Avimimus,Avimimidae,Non-Avian,Theropoda,Saurischia,Omnivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Caudipteryx dongi,Caudipteryx,Caudipteridae,Non-Avian,Theropoda,Saurischia,Omnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Caudipteryx zoui,Caudipteryx,Caudipteridae,Non-Avian,Theropoda,Saurischia,Omnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Incisivosaurus gauthieri,Incisivosaurus,,Non-Avian,Theropoda,Saurischia,Omnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Ningyuansaurus wangi,Ningyuansaurus,,Non-Avian,Theropoda,Saurischia,Omnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Protarchaeopteryx robusta,Protarchaeopteryx,,Non-Avian,Theropoda,Saurischia,Omnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Saurexallopus zerbsti,Saurexallopus,,Non-Avian,Theropoda,Saurischia,Omnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Yuanyanglong bainian,Yuanyanglong,,Non-Avian,Theropoda,Saurischia,Omnivore,Aptian,Albian,Lower Cretaceous,Lower Cretaceous,121.4,100.5,20.900000000000006
Crateropteryx colei,Crateropteryx,,,,,Carnivore,Bathonian,Bathonian,Middle Jurassic,Middle Jurassic,168.2,165.3,2.8999999999999773
Ichthyornis dispar,Ichthyornis,,Avialae,Theropoda,Saurischia,Piscivore,Coniacian,Campanian,Upper Cretaceous,Upper Cretaceous,89.8,72.1,17.700000000000003
Ichthyornis minusculus,Ichthyornis,,Avialae,Theropoda,Saurischia,Piscivore,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous,93.9,89.8,4.1000000000000085
Janavis finalidens,Janavis,,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Asiahesperornis bazhanovi,Asiahesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Canadaga arctica,Canadaga,Hesperornithidae,Avialae,Theropoda,Saurischia,Carnivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Hesperornis chowi,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Hesperornis crassipes,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Cenomanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,100.5,66.0,34.5
Hesperornis gracilis,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Cenomanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,100.5,66.0,34.5
Hesperornis lumgairi,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Hesperornis macdonaldi,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Hesperornis mengeli,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Hesperornis montanus,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Hesperornis regalis,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous,86.3,72.1,14.200000000000003
Hesperornis rossicus,Hesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Piscivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Parahesperornis alexi,Parahesperornis,Hesperornithidae,Avialae,Theropoda,Saurischia,Carnivore,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,89.8,83.6,6.200000000000003
Baptornis advenus,Baptornis,Baptornithidae,Avialae,Theropoda,Saurischia,Carnivore,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,89.8,83.6,6.200000000000003
Judinornis nogontsavensis,Judinornis,,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Brodavis americanus,Brodavis,Brodavidae,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Brodavis baileyi,Brodavis,Brodavidae,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Brodavis mongoliensis,Brodavis,Brodavidae,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Brodavis varneri,Brodavis,Brodavidae,Avialae,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Chupkaornis keraorum,Chupkaornis,,Avialae,Theropoda,Saurischia,Carnivore,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,89.8,83.6,6.200000000000003
Enaliornis barretti,Enaliornis,Enaliornithidae,Avialae,Theropoda,Saurischia,Carnivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,106.2,100.5,5.700000000000003
Enaliornis sedgwicki,Enaliornis,Enaliornithidae,Avialae,Theropoda,Saurischia,Carnivore,Albian,Albian,Lower Cretaceous,Lower Cretaceous,106.2,100.5,5.700000000000003
Fumicollis hoffmani,Fumicollis,Hesperornithidae,Avialae,Theropoda,Saurischia,Carnivore,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,89.8,83.6,6.200000000000003
Pasquiaornis hardiei,Pasquiaornis,,Avialae,Theropoda,Saurischia,Carnivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Pasquiaornis tankei,Pasquiaornis,,Avialae,Theropoda,Saurischia,Carnivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Potamornis skutchi,Potamornis,,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Abitusavis lii,Abitusavis,Yanornithidae,Avialae,Theropoda,Saurischia,Carnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Similiyanornis brevipectus,Similiyanornis,Yanornithidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Aberratiodontus wui,Yanornis,Songlingornithidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Yanornis guozhangi,Yanornis,Songlingornithidae,Avialae,Theropoda,Saurischia,Carnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Yanornis martini,Yanornis,Songlingornithidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Gargantuavis philoinos,Gargantuavis,Gargantuaviidae,Avialae,Theropoda,Saurischia,Carnivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Apatornis celer,Apatornis,,Avialae,Theropoda,Saurischia,Carnivore,Coniacian,Santonian,Upper Cretaceous,Upper Cretaceous,89.8,83.6,6.200000000000003
Archaeovolans repatriatus,Archaeovolans,Songlingornithidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Cerebavis cenomanica,Cerebavis,,Avialae,Theropoda,Saurischia,Carnivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Changzuiornis ahgmi,Changzuiornis,Gansuidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Iaceornis marshi,Iaceornis,,Avialae,Theropoda,Saurischia,Carnivore,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous,86.3,83.6,2.700000000000003
Kookne yeutensis,Kookne,,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Kuszholia mengi,Kuszholia,Kuszholiidae,Avialae,Theropoda,Saurischia,Carnivore,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous,93.9,89.8,4.1000000000000085
Limenavis patagonica,Limenavis,,Avialae,Theropoda,Saurischia,Carnivore,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,83.6,66.0,17.599999999999994
Tingmiatornis arctica,Tingmiatornis,,Avialae,Theropoda,Saurischia,Carnivore,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,100.5,93.9,6.599999999999994
Archaeornithura meemannae,Archaeornithura,Hongshanornithidae,Avialae,Theropoda,Saurischia,Carnivore,Hauterivian,Hauterivian,Lower Cretaceous,Lower Cretaceous,132.6,125.77,6.829999999999998
Hongshanornis longicresta,Hongshanornis,Hongshanornithidae,Avialae,Theropoda,Saurischia,Carnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Longicrusavis houi,Longicrusavis,Hongshanornithidae,Avialae,Theropoda,Saurischia,Carnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Parahongshanornis chaoyangensis,Parahongshanornis,Hongshanornithidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Songlingornis linghensis,Songlingornis,Songlingornithidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Tianyuornis cheni,Tianyuornis,Hongshanornithidae,Avialae,Theropoda,Saurischia,Carnivore,Barremian,Barremian,Lower Cretaceous,Lower Cretaceous,125.77,121.4,4.36999999999999
Yixianornis grabaui,Yixianornis,Songlingornithidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Mengciusornis dentatus,Mengciusornis,Schizoouridae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Ambiortus dementjevi,Ambiortus,Ambiortidae,Avialae,Theropoda,Saurischia,Carnivore,Hauterivian,Barremian,Lower Cretaceous,Lower Cretaceous,132.6,121.4,11.199999999999989
Antarcticavis capelambensis,Antarcticavis,,Avialae,Theropoda,Saurischia,Carnivore,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,72.1,66.0,6.099999999999994
Apsaravis ukhaana,Apsaravis,,Avialae,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Archaeorhynchus spathula,Archaeorhynchus,,Avialae,Theropoda,Saurischia,Carnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,113.0,12.769999999999996
Bellulia rectusunguis,Bellulia,,,,,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Changmaornis houi,Changmaornis,,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Chaoyangia beishanensis,Chaoyangia,,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Dingavis longimaxilla,Dingavis,,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Eogranivora edentulata,Eogranivora,,Avialae,Theropoda,Saurischia,Carnivore,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,125.77,119.5,6.269999999999996
Gansus yumenensis,Gansus,Gansuidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Gansus zheni,Gansus,Gansuidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Hollanda luceria,Hollanda,,Avialae,Theropoda,Saurischia,Carnivore,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,83.6,72.1,11.5
Jianchangornis microdonta,Jianchangornis,,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Jiuquanornis niui,Jiuquanornis,,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Juehuaornis zhangi,Juehuaornis,,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,113.0,8.400000000000006
Kaririavis mater,Kaririavis,,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,119.5,113.0,6.5
Khinganornis hulunbuirensis,Khinganornis,Gansuidae,Avialae,Theropoda,Saurischia,Carnivore,Aptian,Aptian,Lower Cretaceous,Lower Cretaceous,121.4,119.5,1.9000000000000057
