Name,Family,Infraorder,Suborder,Order,Taxon Size,Diet,Max MYA,Min MYA,Lifespan (MYA),Early Age,Late Age,Early Period,Late Period,Avialae
Huayangosaurus,,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,170.9,154.8,16.099999999999994,Bajocian,Oxfordian,Middle Jurassic,Upper Jurassic,False
Isaberrysaura,,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,170.9,168.6,2.3000000000000114,Bajocian,Bajocian,Middle Jurassic,Middle Jurassic,False
Kentrosaurus,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,161.5,145.0,16.5,Oxfordian,Tithonian,Upper Jurassic,Upper Jurassic,False
Paranthodon,Stegosauridae,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,145.0,132.6,12.400000000000006,Berriasian,Valanginian,Lower Cretaceous,Lower Cretaceous,False
Tuojiangosaurus,,Stegosauria,Thyreophora,Ornithischia,1,Herbivore,168.2,161.5,6.699999999999989,Bathonian,Callovian,Middle Jurassic,Middle Jurassic,False
Emausaurus,,,Thyreophora,Ornithischia,1,Herbivore,184.2,174.7,9.5,Toarcian,Toarcian,Lower Jurassic,Lower Jurassic,False
Jakapil,,,Thyreophora,Ornithischia,1,Herbivore,100.5,93.9,6.599999999999994,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,False
Scelidosaurus,,,Thyreophora,Ornithischia,1,Herbivore,208.5,174.7,33.80000000000001,Rhaetian,Toarcian,Upper Triassic,Lower Jurassic,False
Scutellosaurus,,,Thyreophora,Ornithischia,1,Herbivore,201.4,184.2,17.200000000000017,Hettangian,Pliensbachian,Lower Jurassic,Lower Jurassic,False
Yuxisaurus,,,Thyreophora,Ornithischia,1,Herbivore,192.9,184.2,8.700000000000017,Pliensbachian,Pliensbachian,Lower Jurassic,Lower Jurassic,False
Agilisaurus,,,Neornithischia,Ornithischia,1,Herbivore,170.9,154.8,16.099999999999994,Bajocian,Oxfordian,Middle Jurassic,Upper Jurassic,False
Eocursor,,,,Ornithischia,1,Herbivore,201.4,192.9,8.5,Hettangian,Sinemurian,Lower Jurassic,Lower Jurassic,False
Hexinlusaurus,,,Neornithischia,Ornithischia,1,Herbivore,170.9,154.8,16.099999999999994,Bajocian,Oxfordian,Middle Jurassic,Upper Jurassic,False
Jeholosaurus,Jeholosauridae,,Neornithischia,Ornithischia,1,Herbivore,125.77,119.5,6.269999999999996,Barremian,Aptian,Lower Cretaceous,Lower Cretaceous,False
Kulindapteryx,,,Neornithischia,Ornithischia,1,Herbivore,168.2,145.0,23.19999999999999,Bathonian,Tithonian,Middle Jurassic,Upper Jurassic,False
Albertadromeus,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Koreanosaurus,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous,False
Orodromeus,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,86.3,66.0,20.299999999999997,Santonian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Oryctodromeus,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,106.2,93.9,12.299999999999997,Albian,Cenomanian,Lower Cretaceous,Upper Cretaceous,False
Zephyrosaurus,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,121.4,93.9,27.5,Aptian,Cenomanian,Lower Cretaceous,Upper Cretaceous,False
Fona,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,6.599999999999994,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,False
Nevadadromeus,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,100.5,93.9,6.599999999999994,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous,False
Notohypsilophodon,,Ornithopoda,Neornithischia,Ornithischia,1,Herbivore,100.5,89.8,10.700000000000003,Cenomanian,Turonian,Upper Cretaceous,Upper Cretaceous,False
Parksosaurus,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous,False
Haya,Thescelosauridae,,Neornithischia,Ornithischia,1,Herbivore,86.3,72.1,14.200000000000003,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous,False
