"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"830770","occ","","","91701","Campylognathoides liasicus","species","156110","Early Toarcian","","184.2","182.9","30912","Chordata","Reptilia","Pterosauria","Campylognathoididae","Campylognathoides","9.518056","48.633057","DE","Baden-Württenburg","Esslingen","based on nearby landmark","seconds","","Coordinates based upon the village of Holzmaden; B. Hauff's quarry VII"
"830775","occ","","","91704","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30913","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","10.739444","52.352222","DE","Niedersachsen","Helmstedt","based on nearby landmark","seconds","small collection","Collected from a quarry at Beienrode"
"830776","occ","","","91705","Dorygnathus banthensis","species","92103","Early Toarcian","","184.2","182.9","30913","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Dorygnathus","10.689722","52.269444","DE","Niedersachsen","Wolfenbüttel","based on nearby landmark","seconds","small collection","Collected from a quarry at Schandelah"
"830777","occ","","","91706","Dimorphodon macronyx","species","95809","Hettangian","","201.4","199.5","30914","Chordata","Reptilia","Pterosauria","Dimorphodontidae","Dimorphodon","-2.629722","51.601944","UK","England","Gloucestershire","based on nearby landmark","seconds","small collection",""
"831785","occ","","","27891","Pterorhynchus wellnhoferi","species","138756","Early Callovian","","165.3","161.5","30960","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Pterorhynchus","119.238609","41.316387","CN","Nei Mongol","","stated in text","seconds","outcrop","Daohugou, Ningcheng county, eastern Nei Mongol (west of Liaoning province), northeastern China. 41°18.979 N, longitude 119°14.318E"
"832120","occ","","","92110","Pterodactylus cirinensis","species","156509","Kimmeridgian","","154.8","149.2","31020","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Pterodactylus","5.548611","45.779720","FR","Auvergne-Rhône-Alpes","Ain","based on nearby landmark","seconds","local area","general Cerin area, no specific locality data provided"
"832135","occ","29325","","92122","Wenupteryx uzi","species","279359","Middle Tithonian","Late Tithonian","149.2","145","48381","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Wenupteryx","-70.199997","-38.816666","AR","Neuquén","","stated in text","minutes","outcrop","13 km or 17 km northewest of Zapala (differing distances provided in different references)"
"832136","occ","29326","","92122","Wenupteryx uzi","species","279359","Middle Tithonian","Late Tithonian","149.2","145","48381","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Wenupteryx","-70.199997","-38.816666","AR","Neuquén","","stated in text","minutes","outcrop","13 km or 17 km northewest of Zapala (differing distances provided in different references)"
"832196","occ","","","92136","Batrachognathus volans","species","156635","Oxfordian","","161.5","154.8","43848","Chordata","Reptilia","Pterosauria","Anurognathidae","Batrachognathus","69.033333","43.016666","KZ","Ongtüstik Qazaqstan","","based on nearby landmark","minutes","outcrop","Aulie, near Mikhailovka village, in the Chayan area of the Chimkent district, South Kazakhstan"
"832197","occ","","","92136","Sordes pilosus","species","156636","Oxfordian","","161.5","154.8","37290","Chordata","Reptilia","Pterosauria","Rhamphorhynchidae","Sordes","69.033333","43.016666","KZ","Ongtüstik Qazaqstan","","based on nearby landmark","minutes","outcrop","Aulie, near Mikhailovka village, in the Chayan area of the Chimkent district, South Kazakhstan"
"832266","occ","22343","","92146","Ctenochasma taqueti","species","156652","Early Tithonian","","149.2","146.3","31037","Chordata","Reptilia","Pterosauria","NO_FAMILY_SPECIFIED","Ctenochasma","4.950000","48.633331","FR","Haute-Marne","","based on nearby landmark","minutes","small collection",""
"832347","occ","","","48722","Bakonydraco galaczi","species","156755","Santonian","","86.3","83.6","31045","Chordata","Reptilia","Pterosauria","Azhdarchidae","Bakonydraco","17.600000","47.216702","HU","Veszprém","","based on nearby landmark","4","outcrop","NE side of an open-pit bauxite mine, Iharkút,Veszprém County, Bakony Mtns., Transdanubian Range, western Hungary. An open-pit bauxite mine in the location of the former village of Iharkút in the Bakony Mountains, Veszprém county, western Hungary (Rabi et al. 2012). Note that not all of the fossils are from the same spot in the mine, but all are from the same stratigraphic level. Includes all the Unit 1 sites, e.g. SZ-6 (S part of the open pit)."
