Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,First Appearance (MYA),Last Appearance (MYA),Early Interval,Late Interval,Era
Fukuititan nipponensis,Fukuititan,Titanosauriformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Fushanosaurus qitaiensis,Fushanosaurus,Titanosauriformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Fusuisaurus zhaoi,Fusuisaurus,Titanosauriformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Liaoningotitan sinensis,Liaoningotitan,Titanosauriformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Oceanotitan dantasi,Oceanotitan,Titanosauriformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,152.2,149.2,Kimmeridgian,Kimmeridgian,Jurassic
Ornithopsis hulkei,Ornithopsis,Titanosauriformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,132.6,119.5,Hauterivian,Aptian,Cretaceous
Pelorosaurus conybeari,Pelorosaurus,Titanosauriformes,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,139.8,125.77,Valanginian,Hauterivian,Cretaceous
Aragosaurus ischiaticus,Aragosaurus,Macronaria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Atlasaurus imelakei,Atlasaurus,Macronaria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Dashanpusaurus dongi,Dashanpusaurus,Macronaria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,170.9,154.8,Bajocian,Oxfordian,Jurassic
Yuzhoulong qurenensis,Yuzhoulong,Macronaria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,168.2,161.5,Bathonian,Callovian,Jurassic
Losillasaurus giganteus,Losillasaurus,Turiasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,3,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Mierasaurus bobyoungi,Mierasaurus,Turiasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,140.6,132.6,Berriasian,Valanginian,Cretaceous
Moabosaurus utahensis,Moabosaurus,Turiasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,139.8,132.6,Valanginian,Valanginian,Cretaceous
Narindasaurus thevenini,Narindasaurus,Turiasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Tendaguria tanzaniensis,Tendaguria,Turiasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,149.2,145.0,Tithonian,Tithonian,Jurassic
Turiasaurus riodevensis,Turiasaurus,Turiasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,5,154.8,145.0,Kimmeridgian,Tithonian,Jurassic
Zby atlanticus,Zby,Turiasauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,152.2,149.2,Kimmeridgian,Kimmeridgian,Jurassic
Chebsaurus algeriensis,Chebsaurus,Cetiosauridae,Cetiosauridae,NO_ORDER_SPECIFIED,Saurischia,1,165.3,161.5,Callovian,Callovian,Jurassic
Protognathosaurus oxyodon,Protognathosaurus,Cetiosauridae,Cetiosauridae,NO_ORDER_SPECIFIED,Saurischia,1,170.9,154.8,Bajocian,Oxfordian,Jurassic
Amanzia greppini,Amanzia,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,154.8,152.2,Kimmeridgian,Kimmeridgian,Jurassic
Bagualia alba,Bagualia,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,182.9,180.4,Toarcian,Toarcian,Jurassic
Cardiodon rugulosus,Cardiodon,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Cetiosauriscus stewarti,Cetiosauriscus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,165.3,161.5,Callovian,Callovian,Jurassic
Datousaurus bashanensis,Datousaurus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,170.9,154.8,Bajocian,Oxfordian,Jurassic
Dystrophaeus viaemalae,Dystrophaeus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,157.9,154.8,,,Jurassic
Ferganasaurus verzilini,Ferganasaurus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,165.3,161.5,Callovian,Callovian,Jurassic
Haestasaurus becklesii,Haestasaurus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,140.6,132.6,Berriasian,Valanginian,Cretaceous
Janenschia robusta,Janenschia,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,149.2,145.0,Tithonian,Tithonian,Jurassic
Jobaria tiguidensis,Jobaria,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,161.5,145.0,Oxfordian,Tithonian,Jurassic
Lapparentosaurus madagascariensis,Lapparentosaurus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Nebulasaurus taito,Nebulasaurus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,174.7,168.2,Aalenian,Bajocian,Jurassic
Perijasaurus lapaz,Perijasaurus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,180.4,170.9,Toarcian,Aalenian,Jurassic
Rhoetosaurus brownei,Rhoetosaurus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,161.5,154.8,Oxfordian,Oxfordian,Jurassic
Shunosaurus lii,Shunosaurus,Eusauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,4,174.7,154.8,Aalenian,Oxfordian,Jurassic
Amygdalodon patagonicus,Amygdalodon,Gravisauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,192.9,182.9,Pliensbachian,Toarcian,Jurassic
Barapasaurus tagorei,Barapasaurus,Gravisauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,199.5,184.2,Sinemurian,Pliensbachian,Jurassic
Cetiosaurus oxoniensis,Cetiosaurus,Gravisauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,5,168.6,165.3,Bajocian,Bathonian,Jurassic
Patagosaurus fariasi,Patagosaurus,Gravisauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,3,182.9,180.4,Toarcian,Toarcian,Jurassic
Spinophorosaurus nigerensis,Spinophorosaurus,Gravisauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,170.9,165.3,Bajocian,Bathonian,Jurassic
Tazoudasaurus naimi,Tazoudasaurus,Gravisauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,192.9,174.7,Pliensbachian,Toarcian,Jurassic
Volkheimeria chubutensis,Volkheimeria,Gravisauria,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,182.9,180.4,Toarcian,Toarcian,Jurassic
Antetonitrus ingenipes,Antetonitrus,Lessemsauridae,Lessemsauridae,NO_ORDER_SPECIFIED,Saurischia,2,201.4,192.9,Hettangian,Sinemurian,Jurassic
Ingentia prima,Ingentia,Lessemsauridae,Lessemsauridae,NO_ORDER_SPECIFIED,Saurischia,1,227.0,208.5,Norian,Norian,Triassic
Lessemsaurus sauropoides,Lessemsaurus,Lessemsauridae,Lessemsauridae,NO_ORDER_SPECIFIED,Saurischia,1,227.0,208.5,Norian,Norian,Triassic
Archaeodontosaurus descouensi,Archaeodontosaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,168.2,165.3,Bathonian,Bathonian,Jurassic
Chinshakiangosaurus chunghoensis,Chinshakiangosaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,201.4,199.5,Hettangian,Hettangian,Jurassic
Damalasaurus magnus,Damalasaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,201.4,174.7,Hettangian,Toarcian,Jurassic
Isanosaurus attavipachi,Isanosaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,192.9,174.7,Pliensbachian,Toarcian,Jurassic
Kotasaurus yamanpalliensis,Kotasaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,2,199.5,184.2,Sinemurian,Pliensbachian,Jurassic
Lamplughsaura dharmaramensis,Lamplughsaura,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,4,201.4,192.9,Hettangian,Sinemurian,Jurassic
Microdontosaurus dayensis,Microdontosaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,174.7,161.5,Aalenian,Callovian,Jurassic
Ohmdenosaurus liasicus,Ohmdenosaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,182.9,180.4,Toarcian,Toarcian,Jurassic
Oplosaurus armatus,Oplosaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,139.8,121.4,Valanginian,Barremian,Cretaceous
Pulanesaura eocollum,Pulanesaura,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,201.4,192.9,Hettangian,Sinemurian,Jurassic
Sanpasaurus yaoi,Sanpasaurus,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,3,184.2,174.7,Toarcian,Toarcian,Jurassic
Vulcanodon karibaensis,Vulcanodon,Sauropoda,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,199.5,184.2,Sinemurian,Pliensbachian,Jurassic
Alwalkeria maleriensis,Alwalkeria,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,237.0,227.0,Carnian,Carnian,Triassic
Nhandumirim waldsangae,Nhandumirim,Saurischia,NO_FAMILY_SPECIFIED,NO_ORDER_SPECIFIED,Saurischia,1,227.0,208.5,Norian,Norian,Triassic
Crateropteryx colei,Crateropteryx,Carinatae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,168.2,165.3,Bathonian,Bathonian,Jurassic
Ichthyornis dispar,Ichthyornis,Ichthyornithes,NO_FAMILY_SPECIFIED,Ichthyornithes,Reptilia,22,89.8,72.1,Coniacian,Campanian,Cretaceous
Ichthyornis minusculus,Ichthyornis,Ichthyornithes,NO_FAMILY_SPECIFIED,Ichthyornithes,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Janavis finalidens,Janavis,Ichthyornithes,NO_FAMILY_SPECIFIED,Ichthyornithes,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Asiahesperornis bazhanovi,Asiahesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Canadaga arctica,Canadaga,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,2,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Hesperornis chowi,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,5,83.6,72.1,Campanian,Campanian,Cretaceous
Hesperornis crassipes,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,1,100.5,66.0,Cenomanian,Maastrichtian,Cretaceous
Hesperornis gracilis,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,1,100.5,66.0,Cenomanian,Maastrichtian,Cretaceous
Hesperornis lumgairi,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Hesperornis macdonaldi,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,3,83.6,72.1,Campanian,Campanian,Cretaceous
Hesperornis mengeli,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Hesperornis montanus,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Hesperornis regalis,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,19,86.3,72.1,Santonian,Campanian,Cretaceous
Hesperornis rossicus,Hesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,4,83.6,72.1,Campanian,Campanian,Cretaceous
Parahesperornis alexi,Parahesperornis,Hesperornithidae,Hesperornithidae,Hesperornithiformes,Reptilia,3,89.8,83.6,Coniacian,Santonian,Cretaceous
Baptornis advenus,Baptornis,Baptornithidae,Baptornithidae,Hesperornithiformes,Reptilia,2,89.8,83.6,Coniacian,Santonian,Cretaceous
Judinornis nogontsavensis,Judinornis,Baptornithidae,Baptornithidae,Hesperornithiformes,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Brodavis americanus,Brodavis,Brodavidae,Brodavidae,Hesperornithiformes,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Brodavis baileyi,Brodavis,Brodavidae,Brodavidae,Hesperornithiformes,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Brodavis mongoliensis,Brodavis,Brodavidae,Brodavidae,Hesperornithiformes,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Brodavis varneri,Brodavis,Brodavidae,Brodavidae,Hesperornithiformes,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Chupkaornis keraorum,Chupkaornis,Hesperornithiformes,NO_FAMILY_SPECIFIED,Hesperornithiformes,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Enaliornis barretti,Enaliornis,Hesperornithiformes,NO_FAMILY_SPECIFIED,Hesperornithiformes,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Enaliornis sedgwicki,Enaliornis,Hesperornithiformes,NO_FAMILY_SPECIFIED,Hesperornithiformes,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Fumicollis hoffmani,Fumicollis,Hesperornithiformes,NO_FAMILY_SPECIFIED,Hesperornithiformes,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Pasquiaornis hardiei,Pasquiaornis,Hesperornithiformes,NO_FAMILY_SPECIFIED,Hesperornithiformes,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Pasquiaornis tankei,Pasquiaornis,Hesperornithiformes,NO_FAMILY_SPECIFIED,Hesperornithiformes,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Potamornis skutchi,Potamornis,Hesperornithiformes,NO_FAMILY_SPECIFIED,Hesperornithiformes,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Abitusavis lii,Abitusavis,Yanornithidae,Yanornithidae,Yanornithiformes,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Similiyanornis brevipectus,Similiyanornis,Yanornithidae,Yanornithidae,Yanornithiformes,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Aberratiodontus wui,Yanornis,Yanornithidae,Yanornithidae,Yanornithiformes,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Yanornis guozhangi,Yanornis,Yanornithidae,Yanornithidae,Yanornithiformes,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Yanornis martini,Yanornis,Yanornithidae,Yanornithidae,Yanornithiformes,Reptilia,2,121.4,113.0,Aptian,Aptian,Cretaceous
Gargantuavis philoinos,Gargantuavis,Gargantuaviidae,Gargantuaviidae,Theropoda,Reptilia,4,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Apatornis celer,Apatornis,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,89.8,83.6,Coniacian,Santonian,Cretaceous
Archaeovolans repatriatus,Archaeovolans,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Cerebavis cenomanica,Cerebavis,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Changzuiornis ahgmi,Changzuiornis,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Iaceornis marshi,Iaceornis,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Kookne yeutensis,Kookne,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Kuszholia mengi,Kuszholia,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Limenavis patagonica,Limenavis,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Tingmiatornis arctica,Tingmiatornis,Ornithurae,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,100.5,93.9,Cenomanian,Cenomanian,Cretaceous
Archaeornithura meemannae,Archaeornithura,Hongshanornithidae,Hongshanornithidae,Theropoda,Reptilia,1,132.6,125.77,Hauterivian,Hauterivian,Cretaceous
Hongshanornis longicresta,Hongshanornis,Hongshanornithidae,Hongshanornithidae,Theropoda,Reptilia,2,125.77,119.5,Barremian,Aptian,Cretaceous
Longicrusavis houi,Longicrusavis,Hongshanornithidae,Hongshanornithidae,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Parahongshanornis chaoyangensis,Parahongshanornis,Hongshanornithidae,Hongshanornithidae,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Songlingornis linghensis,Songlingornis,Hongshanornithidae,Hongshanornithidae,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Tianyuornis cheni,Tianyuornis,Hongshanornithidae,Hongshanornithidae,Theropoda,Reptilia,1,125.77,121.4,Barremian,Barremian,Cretaceous
Yixianornis grabaui,Yixianornis,Hongshanornithidae,Hongshanornithidae,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Mengciusornis dentatus,Mengciusornis,Schizoouridae,Schizoouridae,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Ambiortus dementjevi,Ambiortus,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,132.6,121.4,Hauterivian,Barremian,Cretaceous
Antarcticavis capelambensis,Antarcticavis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Apsaravis ukhaana,Apsaravis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Archaeorhynchus spathula,Archaeorhynchus,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,2,125.77,113.0,Barremian,Aptian,Cretaceous
Bellulia rectusunguis,Bellulia,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Changmaornis houi,Changmaornis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Chaoyangia beishanensis,Chaoyangia,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Dingavis longimaxilla,Dingavis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Eogranivora edentulata,Eogranivora,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Gansus yumenensis,Gansus,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Gansus zheni,Gansus,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Hollanda luceria,Hollanda,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,83.6,72.1,Campanian,Campanian,Cretaceous
Jianchangornis microdonta,Jianchangornis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Jiuquanornis niui,Jiuquanornis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Juehuaornis zhangi,Juehuaornis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Kaririavis mater,Kaririavis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Khinganornis hulunbuirensis,Khinganornis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,119.5,Aptian,Aptian,Cretaceous
Liaoningornis longidigitris,Liaoningornis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Patagopteryx deferrariisi,Patagopteryx,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Piscivoravis lii,Piscivoravis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Schizooura lii,Schizooura,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Vorona berivotrensis,Vorona,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,5,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Yumenornis huangi,Yumenornis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Zhongjianornis yangi,Zhongjianornis,Ornithuromorpha,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Cratoavis cearensis,Cratoavis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Dalingheornis liweii,Dalingheornis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Elbretornis bonapartei,Elbretornis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Enantiornis leali,Enantiornis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Enantiornis martini,Enantiornis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Enantiornis walkeri,Enantiornis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Grabauornis lingyuanensis,Grabauornis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Martinavis cruzyensis,Martinavis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,83.6,66.0,Campanian,Maastrichtian,Cretaceous
Martinavis minor,Martinavis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Martinavis saltariensis,Martinavis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Martinavis vincei,Martinavis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Martinavis whetstonei,Martinavis,Euenantiornithes,NO_FAMILY_SPECIFIED,Theropoda,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Abavornis bonaparti,Abavornis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Alexornis antecedens,Alexornis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,1,86.3,83.6,Santonian,Santonian,Cretaceous
Explorornis nessovi,Explorornis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Incolornis silvae,Incolornis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Kizylkumavis cretacea,Kizylkumavis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Lenesornis maltshevskyi,Lenesornis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Nanantius eos,Nanantius,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Sazavis prisca,Sazavis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,2,93.9,89.8,Turonian,Turonian,Cretaceous
Zhyraornis kashkarovi,Zhyraornis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,2,100.5,89.8,Cenomanian,Turonian,Cretaceous
Zhyraornis logunovi,Zhyraornis,Alexornithidae,Alexornithidae,Alexornithiformes,Reptilia,1,93.9,89.8,Turonian,Turonian,Cretaceous
Gurilynia nessovi,Gurilynia,Enantiornithidae,Enantiornithidae,Alexornithiformes,Reptilia,1,72.1,66.0,Maastrichtian,Maastrichtian,Cretaceous
Alethoalaornis agitornis,Alethoalaornis,Alethoalaornithidae,Alethoalaornithidae,Cathayornithiformes,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
