Name,Genus,Parent Taxon,Family,Order,Class,Number of Occurrences,Max First Appearance (MYA),Min Last Appearance (MYA),Early Interval,Late Interval,Era
Mythunga camara,Mythunga,Tropeognathinae,Anhangueridae,Pterosauria,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Tropeognathus mesembrinus,Tropeognathus,Tropeognathinae,Anhangueridae,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Haliskia peterseni,Haliskia,Anhangueridae,Anhangueridae,Pterosauria,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Maaradactylus kellneri,Maaradactylus,Anhangueridae,Anhangueridae,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Maaradactylus spielbergi,Maaradactylus,Anhangueridae,Anhangueridae,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Anhanguera araripensis,Anhanguera,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Anhanguera blittersdorffi,Anhanguera,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Anhanguera cuvieri,Anhanguera,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Anhanguera ligabuei,Anhanguera,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Anhanguera piscator,Anhanguera,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,119.5,93.9,Aptian,Cenomanian,Cretaceous
Anhanguera robustus,Anhanguera,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Anhanguera santanae,Anhanguera,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,119.5,113.0,Aptian,Aptian,Cretaceous
Brasileodactylus araripensis,Brasileodactylus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Cearadactylus atrox,Cearadactylus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Guidraco venator,Guidraco,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Istiodactylus latidens,Istiodactylus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,4,125.77,119.5,Barremian,Aptian,Cretaceous
Istiodactylus sinensis,Istiodactylus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,125.77,119.5,Barremian,Aptian,Cretaceous
Liaoningopterus gui,Liaoningopterus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Lonchodectes compressirostris,Lonchodectes,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,100.5,89.8,Cenomanian,Turonian,Cretaceous
Lonchodectes machaerorhynchus,Lonchodectes,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Lonchodectes microdon,Lonchodectes,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,106.2,100.5,Albian,Albian,Cretaceous
Lonchodectes platystomus,Lonchodectes,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,113.0,100.5,Albian,Albian,Cretaceous
Longchengpterus zhaoi,Longchengpterus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Ludodactylus sibbicki,Ludodactylus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,119.5,113.0,Aptian,Aptian,Cretaceous
Nurhachius ignaciobritoi,Nurhachius,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Nurhachius luei,Nurhachius,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,121.4,113.0,Aptian,Aptian,Cretaceous
Ornithocheirus simus,Ornithocheirus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,2,106.2,93.9,Albian,Cenomanian,Cretaceous
Ornithocheirus wiedenrothi,Ornithocheirus,Ornithocheiroidea,NO_FAMILY_SPECIFIED,Pterosauria,Reptilia,1,132.6,125.77,Hauterivian,Hauterivian,Cretaceous
